Unnamed: 0,Restaurant Name,Address,Barangay,City / Town,Province,Price Range (Max), Specialty ,Other Data
1,Kalui Seafood Restaurant,"369 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Seafood, Vegetarian options",Outdoor seating?redit cards acceptedBookingNo deliveryTakeawayNot wheelchair accessibleWi-FiTV
3,Ima's Vegetarian Restaurant,"333 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Vegetarian Vegetarian, Mexican ",Outdoor seatingTakeawayDeliveryBookingWheelchair accessible
4,"Asiano gourmet cuisine, Seafood & Vegetarian restaurant","Beach Front, Sitio Sabang, BRGY, Puerto Princesa, MIMAROPA, Philippines",Cabayugan,Puerto Princesa,Palawan,2800.0,"Filipino, Seafood, Asian, Vegetarian options",DeliveryTakeawayBooking
5,Haim Chicken,"294 Manalo St, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Grill, Vegetarian options",DeliveryOutdoor seatingWi-Fi?redit cards acceptedTakeawayBookingWheelchair accessibleParkingTV
6,Badjao Seafront Restaurant,"PPHX+4V5, Abueg St, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,2800.0,"Seafood, Asian, Filipino, Vegetarian options",Wi-Fi?redit cards acceptedOutdoor seatingBookingTakeawayWheelchair accessibleParkingTV
8,CAPTAIN RIBS,"MANALO EXT. ROAD 295, BGY BANCAO-BANCAO, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400.0,"American, European, Filipino, Barbecue, Vegetarian options",Outdoor seatingWi-Fi?redit cards acceptedBookingTakeawayWheelchair accessibleParking
10,Tataboom Bar & Restaurant,"355 Dagomboy Village, Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Filipino, Asian, Vegetarian options ",Outdoor seatingCash onlyDeliveryTakeawayBookingWheelchair accessibleWi-FiParkingTV
11,White Fence Cafe,"296 M. Manalo Extension, Puerto Princesa, MIMAROPA, Philippines, 5300",Bancao Bancao,Puerto Princesa,Palawan,1400.0," American, Asian, Filipino, International, Vegetarian options ",Outdoor seatingWi-Fi?redit cards acceptedBookingNo deliveryTakeawayTV
12,Painted Table,"PPWW+GH4 Canvas Botique Hotel, North Road, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0," Mexican, International, Vegetarian options ",?redit cards acceptedOutdoor seatingWi-FiTakeawayParkingBookingWheelchair accessible
13,Pizzeria Roma,"27 Wescom Rd, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,630.0," Pizzeria, Italian ",DeliveryTakeawayBooking
15,Wines Cold Cuts Restaurant Cortes Albao,"418 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,2800.0,Spanish Pub & bar,DeliveryOutdoor seatingTakeawayBookingWi-FiParking
16,Balinsasayaw Chicken Grill and Restaurant,"PPPW+4XH, A. Rengel Rd, Puerto Princesa, MIMAROPA, Philippines",Milagrosa,Puerto Princesa,Palawan,1400.0,"Filipino, Seafood, Vegetarian options",?redit cards acceptedOutdoor seatingBookingDeliveryTakeawayWheelchair accessible
17,Tomato&Basil,"PQJC+RJ4, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400.0,"Italian, Pizzeria",TakeawayBooking?redit cards acceptedDeliveryOutdoor seatingWi-FiParkingWheelchair accessible
19,The Orange Gecko Tagua'n,"129 F. Villarosa Rd, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,730.0,"European, International, Vegetarian options",Outdoor seatingTakeawayBookingWheelchair accessible
22,Lawiswis Ecostore and Restaurant,"Irawan-Sta.Lourdes circumferential road Bgy, Irawan - Tagburos Rd, Puerto Princesa, MIMAROPA, Philippines",Irawan,Puerto Princesa,Palawan,1400.0,Filipino ,Outdoor seatingDeliveryTakeawayBooking
23,Olio e Basilico Ristorante,"PQM4+MGF, F. Villarosa Rd, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400.0,"Italian, Pizza, Seafood",Outdoor seating
24,Lale' Restaurant,"LGQ Building, National Hiway, corner D Delos Reyes Rd, Puerto Princesa, MIMAROPA, Philippines",San Pedro,Puerto Princesa,Palawan,1400.0,"Indian, Thai, Asian, Healthy food, Vegetarian options",Cash onlyTakeawayParkingBookingWheelchair accessible
26,Max & Bunny,"Lansanas Rd, Puerto Princesa, MIMAROPA, Philippines",San Pedro,Puerto Princesa,Palawan,1400.0,"Italian, Filipino, American, Asian, European, Austrian, Vegetarian options",Outdoor seatingWi-FiTakeawayDeliveryBookingWheelchair accessible
27,GUNI GUNI BISTRO,"263 Manalo St, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400.0,"Italian, American, Asian, Mexican",?redit cards acceptedDeliveryOutdoor seatingTakeawayBooking
30,Daluyon Beach and Mountain Resort,"Sabang Beach, Puerto Princesa, MIMAROPA, Philippines",Cabayugan,Puerto Princesa,Palawan,1400.0,"Filipino, Asian, Vegetarian options",Outdoor seatingWi-Fi?redit cards acceptedTakeawayParkingBookingWheelchair accessible
31,Nevas Place,"48A Taft Street, Puerto Princesa, MIMAROPA, Philippines",Maligaya,Puerto Princesa,Palawan,1400.0,"Pizzeria, Italian",Outdoor seatingTakeaway?redit cards acceptedDeliveryBookingWheelchair accessible
32,KaJoels Inato Restaurant,"PQQ2+QX8, 414 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,1400.0,"Filipino Seafood, BBQ",Outdoor seatingTakeawayCash onlyWi-FiBooking
33,"Kusinero's ""tacos and burgers""","420 Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",Bancao Bancao,Puerto Princesa,Palawan,850.0,"Asian, Filipino, Mexican, Vegetarian options",DeliveryOutdoor seatingTakeawayWi-FiParkingBookingTV
34,Hen House American BBQ and Smoke Pit,"Dagumboy Village, In Front Of Citra Mina Market, Rizal Avenue, Puerto Princesa, MIMAROPA, Philippines",San Miguel,Puerto Princesa,Palawan,1400.0,"BBQ, ",Outdoor seating
37,Lato Coffee and Restaurant,"Stall 3, Sandoval Street, Baywalk, Puerto Princesa, MIMAROPA, Philippines",Bagong Pag-asa,Puerto Princesa,Palawan,2800.0,"Coffee house, Coffee, Desserts",Outdoor seatingTakeawayBooking
